,Date de cloture,Durée,Devise,Actif Immobilisé net,immobilisations incorporelles,immobilisations corporelles,immobilisations financières,Actif circulant net,stocks et en-cours,créances,disponibilités : trésorerie,Total actif
0,2006-06-30,12 mois,euros,28200000,26200000,1400000,600000,54100000,0,42300000,11800000,82700000
1,2007-06-30,12 mois,euros,20200000,18400000,1100000,600000,57300000,0,50200000,7100000,77700000
2,2008-06-30,12 mois,euros,26100000,23300000,2200000,600000,28000000,0,23600000,4400000,54400000
3,2009-06-30,12 mois,euros,35000000,31400000,3000000,700000,32500000,0,22300000,10200000,72300000
4,2010-06-30,12 mois,euros,24600000,21300000,2600000,600000,20200000,0,13600000,6700000,58700000
5,2011-06-30,12 mois,euros,17232100,14376300,2128200,727500,47101000,0,16176500,30924600,64507000
6,2012-06-30,12 mois,euros,97906700,94282700,2893400,730600,163028300,0,141834300,21194000,262768700
7,2013-06-30,12 mois,euros,187198700,182192500,3553300,1452900,218326700,0,181528500,36798200,407790200
8,2014-06-30,12 mois,euros,290010900,277399500,11124100,1487300,303036700,0,260947000,42089800,595171100
9,2015-06-30,12 mois,euros,215154200,204531900,9050300,1572100,416356500,0,322317500,94039100,633006500
10,2016-06-30,12 mois,euros,202185300,194618600,5995600,1571000,375718800,0,279454500,96264300,579592700
11,2017-06-30,12 mois,euros,194413900,188429500,4361800,1622600,415731700,0,336244700,78190600,612800500
12,2018-06-30,12 mois,euros,421193400,412997200,3658100,4538000,569055200,0,463259700,103999200,992017900
13,2019-06-30,12 mois,euros,403161700,343665200,5911700,53584900,560844200,0,503281700,56862200,965390200
