,Date de cloture,Durée,Devise,Capitaux propres,Provisions,Dettes,Dettes financières et emprunts,Dettes fournisseurs,Dettes fiscales et sociales,Autres dettes,Compte de régularisation passif,Total passif
0,2006-06-30,12 mois,euros,18100000,11300000,47700000,18400000,7700000,9400000,12200000,5600000,82700000
1,2007-06-30,12 mois,euros,17500000,14900000,35400000,11400000,9800000,8300000,5900000,9800000,77700000
2,2008-06-30,12 mois,euros,4100000,1600000,48100000,8500000,15500000,16300000,7800000,600000,54400000
3,2009-06-30,12 mois,euros,4900000,800000,63300000,14500000,14100000,12300000,22500000,3300000,72300000
4,2010-06-30,12 mois,euros,1100000,3100000,54600000,18600000,8000000,7500000,20500000,0,58700000
5,2011-06-30,12 mois,euros,1090100,1910500,59098500,23257400,7740800,10368600,17731700,2407900,64507000
6,2012-06-30,12 mois,euros,-4570600,2404900,250954100,143321600,14074800,38143000,55414700,13980300,262768700
7,2013-06-30,12 mois,euros,41308800,6009000,211174000,16439600,23736400,74280700,96717300,149298400,407790200
8,2014-06-30,12 mois,euros,38605200,14971700,349948300,29913300,47942300,115489600,156603100,191645900,595171100
9,2015-06-30,12 mois,euros,47431600,14879400,424375200,191844300,52076300,82490500,97964200,146320300,633006500
10,2016-06-30,12 mois,euros,55510100,24793300,412797300,203997100,34342100,93054500,81403600,86492000,579592700
11,2017-06-30,12 mois,euros,68635700,18733100,382382200,185108000,36269700,81740300,79264200,143049600,612800500
12,2018-06-30,12 mois,euros,424213000,11076000,395689400,101681100,31466200,57510800,205031300,161039500,992017900
13,2019-06-30,12 mois,euros,450625300,4204300,411889100,145238900,47528300,85497400,133624500,98671500,965390200
